EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
GE,54,Georgia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,1.30471023433157e-09
CY,55,Cyprus,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,2.50103653296073e-05
LI,59,Liechtenstein,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,3.30310745630413e-06
DE,60,Germany,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0307428806156221
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,1.88717174508877
NOA,63,North Africa,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.645166466218652
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0134019293050592
AZ,69,Azerbaijan,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00467454936265825
RS,72,Serbia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.134001707851887
ME,73,Montenegro,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.332255607472296
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000101532340051093
CAS,80,Caspian Sea,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00337349263974501
TJ,81,Tajikistan,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00400019539967252
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,6.98501112427446
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,1.00031688157958
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,3.52712770008766
AL,1,Albania,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0147357275099909
BE,3,Belgium,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00306858699924635
BG,4,Bulgaria,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00554411693082329
DK,6,Denmark,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0028410851210567
FI,7,Finland,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0333311059311691
FR,8,France,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0160415363085772
GR,11,Greece,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0126098745595664
HU,12,Hungary,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0145830297575772
IS,13,Iceland,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,5.01304806675762e-07
IE,14,Ireland,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00486683262798279
LU,16,Luxembourg,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,8.14270684450662e-05
NL,17,Netherlands,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0013797886709483
NO,18,Norway,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00748497008321869
PL,19,Poland,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.279756979668558
PT,20,Portugal,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00669059564443947
RO,21,Romania,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0420546424272402
ES,22,Spain,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0525885965298097
SE,23,Sweden,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0222411301170079
CH,24,Switzerland,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.000297559295777319
TR,25,Turkey,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,2.39623332491734
GB,27,United Kingdom,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0338530783409379
NOS,31,North Sea,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00483884339593967
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0272007178398405
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.870654750778111
BLS,34,Black Sea,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.291537329679413
BY,39,Belarus,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0289346980876553
UA,40,Ukraine,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.289602523795195
MD,41,Republic of Moldova,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.000568424961064011
EE,43,Estonia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.013368918941007
LV,44,Latvia,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.042973744470255
LT,45,Lithuania,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.00928416379388273
CZ,46,Czech Republic,Emis_EUR_PublicPower_4,4,pmco,2021,A_PublicPower,PublicPower,0.0380194610945208
